class id,filepaths,labels,data set
0,train/Hóquei Aéreo/001.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/002.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/003.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/004.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/005.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/006.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/007.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/008.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/009.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/010.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/011.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/012.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/013.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/014.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/015.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/016.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/017.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/018.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/019.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/020.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/021.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/022.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/023.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/024.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/025.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/026.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/027.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/028.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/029.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/030.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/031.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/032.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/033.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/034.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/035.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/036.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/037.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/038.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/039.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/040.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/041.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/042.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/043.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/044.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/045.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/046.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/047.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/048.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/049.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/050.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/051.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/052.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/053.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/054.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/055.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/056.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/057.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/058.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/059.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/060.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/061.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/062.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/063.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/064.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/065.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/066.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/067.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/068.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/069.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/070.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/071.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/072.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/073.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/074.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/075.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/076.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/077.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/078.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/079.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/080.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/081.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/082.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/083.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/084.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/085.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/086.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/087.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/088.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/089.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/090.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/091.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/092.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/093.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/094.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/095.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/096.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/097.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/098.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/099.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/100.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/101.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/102.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/103.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/104.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/105.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/106.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/107.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/108.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/109.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/110.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/111.jpg,Hóquei Aéreo,train
0,train/Hóquei Aéreo/112.jpg,Hóquei Aéreo,train
1,train/Futebol para Amputados/001.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/002.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/003.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/004.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/005.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/006.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/007.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/008.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/009.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/010.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/011.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/012.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/013.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/014.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/015.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/016.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/017.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/018.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/019.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/020.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/021.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/022.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/023.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/024.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/025.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/026.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/027.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/028.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/029.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/030.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/031.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/032.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/033.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/034.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/035.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/036.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/037.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/038.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/039.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/040.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/041.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/042.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/043.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/044.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/045.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/046.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/047.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/048.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/049.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/050.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/051.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/052.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/053.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/054.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/055.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/056.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/057.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/058.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/059.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/060.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/061.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/062.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/063.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/064.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/065.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/066.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/067.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/068.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/069.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/070.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/071.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/072.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/073.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/074.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/075.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/076.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/077.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/078.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/079.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/080.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/081.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/082.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/083.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/084.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/085.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/086.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/087.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/088.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/089.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/090.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/091.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/092.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/093.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/094.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/095.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/096.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/097.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/098.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/099.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/100.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/101.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/102.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/103.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/104.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/105.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/106.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/107.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/108.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/109.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/110.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/111.jpg,Futebol para Amputados,train
1,train/Futebol para Amputados/112.jpg,Futebol para Amputados,train
2,train/Tiro com Arco/001.jpg,Tiro com Arco,train
2,train/Tiro com Arco/002.jpg,Tiro com Arco,train
2,train/Tiro com Arco/003.jpg,Tiro com Arco,train
2,train/Tiro com Arco/004.jpg,Tiro com Arco,train
2,train/Tiro com Arco/005.jpg,Tiro com Arco,train
2,train/Tiro com Arco/006.jpg,Tiro com Arco,train
2,train/Tiro com Arco/007.jpg,Tiro com Arco,train
2,train/Tiro com Arco/008.jpg,Tiro com Arco,train
2,train/Tiro com Arco/009.jpg,Tiro com Arco,train
2,train/Tiro com Arco/010.jpg,Tiro com Arco,train
2,train/Tiro com Arco/011.jpg,Tiro com Arco,train
2,train/Tiro com Arco/012.jpg,Tiro com Arco,train
2,train/Tiro com Arco/013.jpg,Tiro com Arco,train
2,train/Tiro com Arco/014.jpg,Tiro com Arco,train
2,train/Tiro com Arco/015.jpg,Tiro com Arco,train
2,train/Tiro com Arco/016.jpg,Tiro com Arco,train
2,train/Tiro com Arco/017.jpg,Tiro com Arco,train
2,train/Tiro com Arco/018.jpg,Tiro com Arco,train
2,train/Tiro com Arco/019.jpg,Tiro com Arco,train
2,train/Tiro com Arco/020.jpg,Tiro com Arco,train
2,train/Tiro com Arco/021.jpg,Tiro com Arco,train
2,train/Tiro com Arco/022.jpg,Tiro com Arco,train
2,train/Tiro com Arco/023.jpg,Tiro com Arco,train
2,train/Tiro com Arco/024.jpg,Tiro com Arco,train
2,train/Tiro com Arco/025.jpg,Tiro com Arco,train
2,train/Tiro com Arco/026.jpg,Tiro com Arco,train
2,train/Tiro com Arco/027.jpg,Tiro com Arco,train
2,train/Tiro com Arco/028.jpg,Tiro com Arco,train
2,train/Tiro com Arco/029.jpg,Tiro com Arco,train
2,train/Tiro com Arco/030.jpg,Tiro com Arco,train
2,train/Tiro com Arco/031.jpg,Tiro com Arco,train
2,train/Tiro com Arco/032.jpg,Tiro com Arco,train
2,train/Tiro com Arco/033.jpg,Tiro com Arco,train
2,train/Tiro com Arco/034.jpg,Tiro com Arco,train
2,train/Tiro com Arco/035.jpg,Tiro com Arco,train
2,train/Tiro com Arco/036.jpg,Tiro com Arco,train
2,train/Tiro com Arco/037.jpg,Tiro com Arco,train
2,train/Tiro com Arco/038.jpg,Tiro com Arco,train
2,train/Tiro com Arco/039.jpg,Tiro com Arco,train
2,train/Tiro com Arco/040.jpg,Tiro com Arco,train
2,train/Tiro com Arco/041.jpg,Tiro com Arco,train
2,train/Tiro com Arco/042.jpg,Tiro com Arco,train
2,train/Tiro com Arco/043.jpg,Tiro com Arco,train
